champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Lux,Gragas,99,79,2.59,2.08,0.5119,0.4881,0.467,0.381,0.5034,0.4966,0.4834,0.5053,0.041,0.0145,0.0037,0.0033
Bard,Karma,432,43,2.88,2.57,0.4601,0.5399,0.433,0.423,0.5138,0.4862,0.5076,0.4778,0.031,0.0668,0.0016,0.007
Pantheon,Sett,80,875,2.12,2.07,0.4871,0.5129,0.477,0.45,0.5229,0.4771,0.475,0.4539,0.0303,0.0402,0.1074,0.104
Braum,Zyra,201,143,2.69,2.23,0.4779,0.5221,0.411,0.45,0.4602,0.5398,0.4892,0.5229,0.0151,0.0265,0.0007,0.0031
Anivia,Senna,34,235,2.22,2.64,0.5763,0.4237,0.422,0.501,0.4848,0.5152,0.5007,0.5275,0.0066,0.1282,0.0462,0.2869
Poppy,Rell,78,526,2.57,2.16,0.5396,0.4604,0.457,0.422,0.5217,0.4783,0.4897,0.4836,0.0078,0.0364,0.0385,0.0666
Galio,Poppy,3,78,2.48,2.37,0.4962,0.5038,0.465,0.429,0.4695,0.5305,0.4798,0.4897,0.0372,0.0078,0.0388,0.0385
Bard,Soraka,432,16,2.76,2.59,0.4943,0.5057,0.414,0.286,0.5083,0.4917,0.5076,0.4954,0.031,0.0255,0.0016,0.0011
Rakan,Zilean,497,26,2.69,3.4,0.5775,0.4225,0.381,0.424,0.4248,0.5752,0.5,0.5211,0.028,0.0313,0.0017,0.0063
Gragas,Zac,79,154,2.34,2.87,0.5435,0.4565,0.453,0.481,0.4493,0.5507,0.5053,0.5024,0.0145,0.0087,0.0033,0.0074
Sona,Seraphine,37,147,2.83,2.49,0.4503,0.5497,0.475,0.396,0.5649,0.4351,0.4996,0.4769,0.0077,0.0209,0.0003,0.0064
Rakan,Zac,497,154,3.06,2.95,0.4444,0.5556,0.426,0.481,0.5391,0.4609,0.5,0.5024,0.028,0.0087,0.0017,0.0074
Sett,Galio,875,3,2.19,2.48,0.5878,0.4122,0.464,0.474,0.4858,0.5142,0.4539,0.4798,0.0402,0.0372,0.104,0.0388
Bard,Maokai,432,57,2.63,2.37,0.4353,0.5647,0.459,0.419,0.4785,0.5215,0.5076,0.5238,0.031,0.0516,0.0016,0.0109
Karma,Lulu,43,117,2.68,3.23,0.4623,0.5377,0.398,0.377,0.4771,0.5229,0.4778,0.5068,0.0668,0.1701,0.007,0.1765
Janna,Zilean,40,26,2.72,3.2,0.4318,0.5682,0.378,0.401,0.4869,0.5131,0.5141,0.5211,0.0272,0.0313,0.0017,0.0063
Swain,Rell,50,526,2.65,2.1,0.5353,0.4647,0.524,0.406,0.5491,0.4509,0.4792,0.4836,0.0193,0.0364,0.0096,0.0666
Vel'Koz,Senna,161,235,2.34,2.69,0.588,0.412,0.445,0.487,0.4903,0.5097,0.4896,0.5275,0.0151,0.1282,0.0012,0.2869
Sett,Seraphine,875,147,2.05,2.59,0.5596,0.4404,0.419,0.441,0.4832,0.5168,0.4539,0.4769,0.0402,0.0209,0.104,0.0064
Xerath,Shen,101,98,2.58,2.73,0.4943,0.5057,0.474,0.451,0.5179,0.4821,0.4949,0.4798,0.0765,0.0091,0.0488,0.1132
Galio,Alistar,3,12,2.51,2.68,0.5112,0.4888,0.474,0.424,0.4799,0.5201,0.4798,0.5015,0.0372,0.1226,0.0388,0.0699
Shaco,Seraphine,35,147,2.76,2.35,0.5401,0.4599,0.45,0.381,0.5127,0.4873,0.5025,0.4769,0.0249,0.0209,0.2796,0.0064
Maokai,Shaco,57,35,2.05,2.72,0.4762,0.5238,0.39,0.465,0.4826,0.5174,0.5238,0.5025,0.0516,0.0249,0.0109,0.2796
Neeko,Lulu,518,117,1.97,3.03,0.4797,0.5203,0.399,0.393,0.4877,0.5123,0.483,0.5068,0.0063,0.1701,0.0021,0.1765
Neeko,Zyra,518,143,1.89,2.02,0.5302,0.4698,0.387,0.439,0.4387,0.5613,0.483,0.5229,0.0063,0.0265,0.0021,0.0031
Sett,Bard,875,432,1.87,3.08,0.5507,0.4493,0.403,0.474,0.4478,0.5522,0.4539,0.5076,0.0402,0.031,0.104,0.0016
Morgana,Bard,25,432,2.38,2.76,0.5652,0.4348,0.435,0.453,0.4788,0.5212,0.493,0.5076,0.0487,0.031,0.4907,0.0016
Xerath,Leona,101,89,2.4,2.39,0.4411,0.5589,0.464,0.391,0.4908,0.5092,0.4949,0.5252,0.0765,0.1396,0.0488,0.3998
Nami,Rakan,267,497,3.29,2.67,0.528,0.472,0.426,0.347,0.5484,0.4516,0.4874,0.5,0.0147,0.028,0.001,0.0017
Xerath,Morgana,101,25,2.5,2.14,0.5436,0.4564,0.449,0.401,0.5247,0.4753,0.4949,0.493,0.0765,0.0487,0.0488,0.4907
Sona,Pyke,37,555,2.42,2.41,0.3936,0.6064,0.497,0.451,0.4511,0.5489,0.4996,0.4923,0.0077,0.0666,0.0003,0.0406
Rakan,Neeko,497,518,2.8,2.08,0.4831,0.5169,0.431,0.424,0.5221,0.4779,0.5,0.483,0.028,0.0063,0.0017,0.0021
Pantheon,Senna,80,235,1.99,2.95,0.5536,0.4464,0.451,0.533,0.4577,0.5423,0.475,0.5275,0.0303,0.1282,0.1074,0.2869
Maokai,Blitzcrank,57,53,2.17,2.55,0.4139,0.5861,0.418,0.427,0.5106,0.4894,0.5238,0.5082,0.0516,0.1009,0.0109,0.1231
Yuumi,Nami,350,267,4.39,2.74,0.6303,0.3697,0.447,0.409,0.5176,0.4824,0.4703,0.4874,0.0658,0.0147,0.0199,0.001
Yuumi,Soraka,350,16,4.55,2.53,0.6817,0.3183,0.429,0.29,0.5097,0.4903,0.4703,0.4954,0.0658,0.0255,0.0199,0.0011
Seraphine,Gragas,147,79,2.62,2.4,0.4286,0.5714,0.426,0.393,0.5191,0.4809,0.4769,0.5053,0.0209,0.0145,0.0064,0.0033
Sett,Alistar,875,12,2.06,2.88,0.5272,0.4728,0.447,0.446,0.4343,0.5657,0.4539,0.5015,0.0402,0.1226,0.104,0.0699
Senna,Bard,235,432,2.87,2.87,0.5032,0.4968,0.501,0.458,0.5282,0.4718,0.5275,0.5076,0.1282,0.031,0.2869,0.0016
Blitzcrank,Lulu,53,117,2.57,2.89,0.5661,0.4339,0.394,0.393,0.5057,0.4943,0.5082,0.5068,0.1009,0.1701,0.1231,0.1765
Neeko,Lux,518,99,1.74,2.48,0.4471,0.5529,0.378,0.456,0.49,0.51,0.483,0.4834,0.0063,0.041,0.0021,0.0037
Nautilus,Brand,111,63,2.36,1.89,0.58,0.42,0.413,0.466,0.5079,0.4921,0.5034,0.4843,0.1122,0.0165,0.0565,0.0016
Maokai,Karma,57,43,2.24,2.55,0.5064,0.4936,0.401,0.422,0.5331,0.4669,0.5238,0.4778,0.0516,0.0668,0.0109,0.007
Braum,Shaco,201,35,2.48,3.11,0.4656,0.5344,0.368,0.492,0.4231,0.5769,0.4892,0.5025,0.0151,0.0249,0.0007,0.2796
Thresh,Vel'Koz,412,161,2.39,2.21,0.4615,0.5385,0.395,0.448,0.5053,0.4947,0.5061,0.4896,0.2263,0.0151,0.2708,0.0012
Rell,Neeko,526,518,2.21,2.19,0.4965,0.5035,0.381,0.437,0.5077,0.4923,0.4836,0.483,0.0364,0.0063,0.0666,0.0021
Sona,Lux,37,99,2.62,2.67,0.3853,0.6147,0.43,0.448,0.5061,0.4939,0.4996,0.4834,0.0077,0.041,0.0003,0.0037
Karma,Alistar,43,12,2.78,2.47,0.5423,0.4577,0.445,0.389,0.4935,0.5065,0.4778,0.5015,0.0668,0.1226,0.007,0.0699
Rell,Zac,526,154,2.01,3.43,0.3961,0.6039,0.404,0.52,0.4474,0.5526,0.4836,0.5024,0.0364,0.0087,0.0666,0.0074
Karma,Braum,43,201,2.57,3.0,0.488,0.512,0.434,0.392,0.473,0.527,0.4778,0.4892,0.0668,0.0151,0.007,0.0007
Seraphine,Sona,147,37,2.49,2.83,0.5497,0.4503,0.396,0.475,0.4351,0.5649,0.4769,0.4996,0.0209,0.0077,0.0064,0.0003
Zilean,Shen,26,98,3.4,2.54,0.3724,0.6276,0.455,0.472,0.623,0.377,0.5211,0.4798,0.0313,0.0091,0.0063,0.1132
Nautilus,Anivia,111,34,2.34,2.28,0.528,0.472,0.404,0.458,0.5286,0.4714,0.5034,0.5007,0.1122,0.0066,0.0565,0.0462
Sona,Karma,37,43,2.82,2.84,0.4477,0.5523,0.429,0.404,0.5074,0.4926,0.4996,0.4778,0.0077,0.0668,0.0003,0.007
Yuumi,Vel'Koz,350,161,4.52,2.07,0.6333,0.3667,0.47,0.425,0.5217,0.4783,0.4703,0.4896,0.0658,0.0151,0.0199,0.0012
Lux,Zilean,99,26,2.32,2.9,0.5513,0.4487,0.425,0.416,0.4765,0.5235,0.4834,0.5211,0.041,0.0313,0.0037,0.0063
Yuumi,Lulu,350,117,4.18,3.03,0.5525,0.4475,0.44,0.385,0.4837,0.5163,0.4703,0.5068,0.0658,0.1701,0.0199,0.1765
Rakan,Rell,497,526,3.08,2.37,0.5225,0.4775,0.426,0.399,0.5176,0.4824,0.5,0.4836,0.028,0.0364,0.0017,0.0666
Zac,Lux,154,99,2.75,2.25,0.5762,0.4238,0.457,0.475,0.5418,0.4582,0.5024,0.4834,0.0087,0.041,0.0074,0.0037
Sett,Xerath,875,101,1.91,2.56,0.5029,0.4971,0.399,0.463,0.4638,0.5362,0.4539,0.4949,0.0402,0.0765,0.104,0.0488
Gragas,Swain,79,50,2.09,2.53,0.4538,0.5462,0.425,0.499,0.466,0.534,0.5053,0.4792,0.0145,0.0193,0.0033,0.0096
Brand,Vel'Koz,63,161,1.62,2.28,0.4055,0.5945,0.381,0.423,0.4963,0.5037,0.4843,0.4896,0.0165,0.0151,0.0016,0.0012
Bard,Vel'Koz,432,161,2.59,2.29,0.4042,0.5958,0.418,0.428,0.449,0.551,0.5076,0.4896,0.031,0.0151,0.0016,0.0012
Brand,Soraka,63,16,1.9,2.68,0.5157,0.4843,0.423,0.284,0.5372,0.4628,0.4843,0.4954,0.0165,0.0255,0.0016,0.0011
Braum,Shen,201,98,3.33,2.64,0.5617,0.4383,0.4,0.497,0.6542,0.3458,0.4892,0.4798,0.0151,0.0091,0.0007,0.1132
Rakan,Seraphine,497,147,2.88,2.66,0.5259,0.4741,0.403,0.446,0.5171,0.4829,0.5,0.4769,0.028,0.0209,0.0017,0.0064
Bard,Alistar,432,12,2.97,2.55,0.4829,0.5171,0.483,0.403,0.5097,0.4903,0.5076,0.5015,0.031,0.1226,0.0016,0.0699
Anivia,Braum,34,201,2.61,2.66,0.4949,0.5051,0.461,0.42,0.4528,0.5472,0.5007,0.4892,0.0066,0.0151,0.0462,0.0007
Morgana,Nautilus,25,111,2.62,2.19,0.4975,0.5025,0.471,0.386,0.5008,0.4992,0.493,0.5034,0.0487,0.1122,0.4907,0.0565
Soraka,Nautilus,16,111,2.73,2.48,0.398,0.602,0.322,0.398,0.4992,0.5008,0.4954,0.5034,0.0255,0.1122,0.0011,0.0565
Thresh,Seraphine,412,147,2.65,2.48,0.5392,0.4608,0.409,0.432,0.5257,0.4743,0.5061,0.4769,0.2263,0.0209,0.2708,0.0064
Blitzcrank,Rakan,53,497,2.46,2.85,0.5798,0.4202,0.396,0.412,0.4797,0.5203,0.5082,0.5,0.1009,0.028,0.1231,0.0017
Taric,Yuumi,44,350,2.9,4.37,0.4296,0.5704,0.344,0.423,0.5316,0.4684,0.4856,0.4703,0.0077,0.0658,0.0006,0.0199
Nautilus,Gragas,111,79,2.43,2.44,0.5541,0.4459,0.428,0.437,0.4978,0.5022,0.5034,0.5053,0.1122,0.0145,0.0565,0.0033
Leona,Xerath,89,101,2.39,2.4,0.5589,0.4411,0.391,0.464,0.5092,0.4908,0.5252,0.4949,0.1396,0.0765,0.3998,0.0488
Zilean,Thresh,26,412,3.07,2.5,0.46,0.54,0.445,0.393,0.5253,0.4747,0.5211,0.5061,0.0313,0.2263,0.0063,0.2708
Karma,Rell,43,526,2.75,2.14,0.5386,0.4614,0.458,0.37,0.4841,0.5159,0.4778,0.4836,0.0668,0.0364,0.007,0.0666
Lux,Maokai,99,57,2.48,2.14,0.5194,0.4806,0.46,0.395,0.4715,0.5285,0.4834,0.5238,0.041,0.0516,0.0037,0.0109
Seraphine,Poppy,147,78,2.29,2.67,0.4861,0.5139,0.428,0.448,0.4757,0.5243,0.4769,0.4897,0.0209,0.0078,0.0064,0.0385
Leona,Lulu,89,117,2.55,2.87,0.5644,0.4356,0.384,0.386,0.5308,0.4692,0.5252,0.5068,0.1396,0.1701,0.3998,0.1765
Karma,Vel'Koz,43,161,2.61,2.2,0.4624,0.5376,0.395,0.413,0.493,0.507,0.4778,0.4896,0.0668,0.0151,0.007,0.0012
Shen,Alistar,98,12,2.75,2.78,0.4934,0.5066,0.487,0.434,0.466,0.534,0.4798,0.5015,0.0091,0.1226,0.1132,0.0699
Rakan,Poppy,497,78,2.74,2.54,0.3469,0.6531,0.41,0.469,0.4706,0.5294,0.5,0.4897,0.028,0.0078,0.0017,0.0385
Morgana,Vel'Koz,25,161,2.3,2.17,0.4925,0.5075,0.409,0.427,0.4895,0.5105,0.493,0.4896,0.0487,0.0151,0.4907,0.0012
Nautilus,Neeko,111,518,2.33,2.13,0.5277,0.4723,0.419,0.445,0.5187,0.4813,0.5034,0.483,0.1122,0.0063,0.0565,0.0021
Shaco,Karma,35,43,2.75,2.48,0.5179,0.4821,0.445,0.413,0.5392,0.4608,0.5025,0.4778,0.0249,0.0668,0.2796,0.007
Leona,Galio,89,3,2.52,2.41,0.5409,0.4591,0.414,0.469,0.5177,0.4823,0.5252,0.4798,0.1396,0.0372,0.3998,0.0388
Rakan,Veigar,497,45,2.88,2.47,0.4677,0.5323,0.392,0.459,0.5,0.5,0.5,0.5082,0.028,0.006,0.0017,0.0007
Morgana,Zyra,25,143,2.3,2.13,0.4932,0.5068,0.417,0.416,0.4565,0.5435,0.493,0.5229,0.0487,0.0265,0.4907,0.0031
Maokai,Veigar,57,45,2.21,2.13,0.5207,0.4793,0.369,0.435,0.5106,0.4894,0.5238,0.5082,0.0516,0.006,0.0109,0.0007
Shen,Janna,98,40,2.83,2.8,0.535,0.465,0.453,0.389,0.4941,0.5059,0.4798,0.5141,0.0091,0.0272,0.1132,0.0017
Zyra,Sona,143,37,2.24,2.64,0.5863,0.4137,0.436,0.419,0.5193,0.4807,0.5229,0.4996,0.0265,0.0077,0.0031,0.0003
Nami,Seraphine,267,147,3.02,2.4,0.5281,0.4719,0.407,0.416,0.5435,0.4565,0.4874,0.4769,0.0147,0.0209,0.001,0.0064
Taric,Zilean,44,26,2.4,3.44,0.5525,0.4475,0.325,0.469,0.4622,0.5378,0.4856,0.5211,0.0077,0.0313,0.0006,0.0063
Janna,Zac,40,154,2.75,2.76,0.3762,0.6238,0.421,0.461,0.4623,0.5377,0.5141,0.5024,0.0272,0.0087,0.0017,0.0074
Zac,Thresh,154,412,2.8,2.61,0.5627,0.4373,0.483,0.452,0.4985,0.5015,0.5024,0.5061,0.0087,0.2263,0.0074,0.2708
Zac,Yuumi,154,350,3.24,3.52,0.5747,0.4253,0.48,0.446,0.5558,0.4442,0.5024,0.4703,0.0087,0.0658,0.0074,0.0199
Anivia,Blitzcrank,34,53,2.05,2.39,0.4629,0.5371,0.428,0.4,0.4823,0.5177,0.5007,0.5082,0.0066,0.1009,0.0462,0.1231
Galio,Nautilus,3,111,2.39,2.52,0.4385,0.5615,0.468,0.44,0.4805,0.5195,0.4798,0.5034,0.0372,0.1122,0.0388,0.0565
Shen,Senna,98,235,2.74,3.0,0.5669,0.4331,0.464,0.524,0.4459,0.5541,0.4798,0.5275,0.0091,0.1282,0.1132,0.2869
Taric,Sona,44,37,2.5,3.33,0.4659,0.5341,0.359,0.502,0.5,0.5,0.4856,0.4996,0.0077,0.0077,0.0006,0.0003
Yuumi,Senna,350,235,4.35,2.9,0.6145,0.3855,0.467,0.509,0.4617,0.5383,0.4703,0.5275,0.0658,0.1282,0.0199,0.2869
Lux,Zac,99,154,2.25,2.75,0.4238,0.5762,0.475,0.457,0.4582,0.5418,0.4834,0.5024,0.041,0.0087,0.0037,0.0074
Seraphine,Lux,147,99,2.25,2.56,0.4508,0.5492,0.399,0.446,0.4774,0.5226,0.4769,0.4834,0.0209,0.041,0.0064,0.0037
Rakan,Thresh,497,412,2.88,2.69,0.4888,0.5112,0.394,0.421,0.514,0.486,0.5,0.5061,0.028,0.2263,0.0017,0.2708
Sett,Shen,875,98,2.08,2.96,0.5163,0.4837,0.447,0.508,0.4732,0.5268,0.4539,0.4798,0.0402,0.0091,0.104,0.1132
Soraka,Xerath,16,101,2.47,2.46,0.3605,0.6395,0.26,0.43,0.5105,0.4895,0.4954,0.4949,0.0255,0.0765,0.0011,0.0488
Anivia,Lux,34,99,2.13,2.22,0.5896,0.4104,0.415,0.449,0.5202,0.4798,0.5007,0.4834,0.0066,0.041,0.0462,0.0037
Nami,Karma,267,43,3.13,2.55,0.4933,0.5067,0.404,0.393,0.534,0.466,0.4874,0.4778,0.0147,0.0668,0.001,0.007
Blitzcrank,Thresh,53,412,2.48,2.46,0.5499,0.4501,0.413,0.426,0.515,0.485,0.5082,0.5061,0.1009,0.2263,0.1231,0.2708
Gragas,Karma,79,43,2.29,2.57,0.529,0.471,0.394,0.415,0.4764,0.5236,0.5053,0.4778,0.0145,0.0668,0.0033,0.007
Poppy,Zac,78,154,2.67,2.59,0.5818,0.4182,0.438,0.499,0.5821,0.4179,0.4897,0.5024,0.0078,0.0087,0.0385,0.0074
Nami,Maokai,267,57,2.85,2.2,0.4922,0.5078,0.428,0.403,0.48,0.52,0.4874,0.5238,0.0147,0.0516,0.001,0.0109
Janna,Vel'Koz,40,161,2.85,2.1,0.4527,0.5473,0.395,0.421,0.542,0.458,0.5141,0.4896,0.0272,0.0151,0.0017,0.0012
Shen,Poppy,98,78,2.45,2.7,0.4796,0.5204,0.428,0.465,0.5303,0.4697,0.4798,0.4897,0.0091,0.0078,0.1132,0.0385
Anivia,Nami,34,267,2.32,2.69,0.4878,0.5122,0.396,0.438,0.4706,0.5294,0.5007,0.4874,0.0066,0.0147,0.0462,0.001
Anivia,Rakan,34,497,2.47,2.9,0.5333,0.4667,0.451,0.437,0.6042,0.3958,0.5007,0.5,0.0066,0.028,0.0462,0.0017
Thresh,Brand,412,63,2.41,1.94,0.5052,0.4948,0.411,0.462,0.4794,0.5206,0.5061,0.4843,0.2263,0.0165,0.2708,0.0016
Sona,Brand,37,63,2.73,1.98,0.4784,0.5216,0.465,0.431,0.4631,0.5369,0.4996,0.4843,0.0077,0.0165,0.0003,0.0016
Sett,Zyra,875,143,1.91,2.2,0.547,0.453,0.41,0.452,0.4597,0.5403,0.4539,0.5229,0.0402,0.0265,0.104,0.0031
Taric,Nami,44,267,2.59,3.05,0.4881,0.5119,0.348,0.415,0.4375,0.5625,0.4856,0.4874,0.0077,0.0147,0.0006,0.001
Yuumi,Taric,350,44,4.37,2.9,0.5704,0.4296,0.423,0.344,0.4684,0.5316,0.4703,0.4856,0.0658,0.0077,0.0199,0.0006
Maokai,Poppy,57,78,2.43,2.27,0.5314,0.4686,0.452,0.426,0.5634,0.4366,0.5238,0.4897,0.0516,0.0078,0.0109,0.0385
Braum,Nami,201,267,3.19,2.73,0.592,0.408,0.418,0.432,0.5714,0.4286,0.4892,0.4874,0.0151,0.0147,0.0007,0.001
Veigar,Yuumi,45,350,2.26,3.97,0.3838,0.6162,0.432,0.447,0.5249,0.4751,0.5082,0.4703,0.006,0.0658,0.0007,0.0199
Sett,Neeko,875,518,1.98,2.24,0.5227,0.4773,0.426,0.439,0.4706,0.5294,0.4539,0.483,0.0402,0.0063,0.104,0.0021
Xerath,Senna,101,235,2.63,2.62,0.6002,0.3998,0.462,0.477,0.5051,0.4949,0.4949,0.5275,0.0765,0.1282,0.0488,0.2869
Brand,Karma,63,43,1.73,2.67,0.4481,0.5519,0.417,0.403,0.507,0.493,0.4843,0.4778,0.0165,0.0668,0.0016,0.007
Soraka,Rell,16,526,2.87,2.2,0.5,0.5,0.346,0.373,0.4992,0.5008,0.4954,0.4836,0.0255,0.0364,0.0011,0.0666
Zyra,Lux,143,99,1.89,2.42,0.4541,0.5459,0.395,0.442,0.5205,0.4795,0.5229,0.4834,0.0265,0.041,0.0031,0.0037
Zac,Thresh,154,412,2.8,2.61,0.5627,0.4373,0.483,0.452,0.4985,0.5015,0.5024,0.5061,0.0087,0.2263,0.0074,0.2708
Zac,Sona,154,37,2.98,2.37,0.6132,0.3868,0.392,0.484,0.6102,0.3898,0.5024,0.4996,0.0087,0.0077,0.0074,0.0003
Maokai,Bard,57,432,2.37,2.63,0.5647,0.4353,0.419,0.459,0.5215,0.4785,0.5238,0.5076,0.0516,0.031,0.0109,0.0016
Pantheon,Gragas,80,79,1.98,2.56,0.4742,0.5258,0.464,0.431,0.4603,0.5397,0.475,0.5053,0.0303,0.0145,0.1074,0.0033
Brand,Thresh,63,412,1.94,2.41,0.4948,0.5052,0.462,0.411,0.5206,0.4794,0.4843,0.5061,0.0165,0.2263,0.0016,0.2708
Taric,Zyra,44,143,2.73,2.1,0.5353,0.4647,0.365,0.438,0.5349,0.4651,0.4856,0.5229,0.0077,0.0265,0.0006,0.0031
Senna,Soraka,235,16,2.89,2.95,0.4799,0.5201,0.484,0.302,0.5009,0.4991,0.5275,0.4954,0.1282,0.0255,0.2869,0.0011
Zyra,Lulu,143,117,2.16,2.9,0.5086,0.4914,0.42,0.354,0.5346,0.4654,0.5229,0.5068,0.0265,0.1701,0.0031,0.1765
Leona,Neeko,89,518,2.44,2.04,0.536,0.464,0.413,0.433,0.5147,0.4853,0.5252,0.483,0.1396,0.0063,0.3998,0.0021
Neeko,Swain,518,50,1.82,2.34,0.4716,0.5284,0.407,0.482,0.4631,0.5369,0.483,0.4792,0.0063,0.0193,0.0021,0.0096
Galio,Janna,3,40,2.32,2.95,0.481,0.519,0.417,0.434,0.5121,0.4879,0.4798,0.5141,0.0372,0.0272,0.0388,0.0017
Zyra,Thresh,143,412,2.15,2.4,0.5071,0.4929,0.449,0.405,0.5222,0.4778,0.5229,0.5061,0.0265,0.2263,0.0031,0.2708
Janna,Senna,40,235,2.92,2.91,0.4732,0.5268,0.422,0.493,0.4767,0.5233,0.5141,0.5275,0.0272,0.1282,0.0017,0.2869
Bard,Thresh,432,412,2.7,2.63,0.4394,0.5606,0.459,0.412,0.4998,0.5002,0.5076,0.5061,0.031,0.2263,0.0016,0.2708
Taric,Seraphine,44,147,2.89,2.5,0.5161,0.4839,0.408,0.409,0.4545,0.5455,0.4856,0.4769,0.0077,0.0209,0.0006,0.0064
Vel'Koz,Lulu,161,117,2.2,3.01,0.535,0.465,0.419,0.357,0.4941,0.5059,0.4896,0.5068,0.0151,0.1701,0.0012,0.1765
Morgana,Veigar,25,45,2.59,2.09,0.5423,0.4577,0.438,0.418,0.5448,0.4552,0.493,0.5082,0.0487,0.006,0.4907,0.0007
Nautilus,Alistar,111,12,2.44,2.65,0.5527,0.4473,0.43,0.431,0.4753,0.5247,0.5034,0.5015,0.1122,0.1226,0.0565,0.0699
Leona,Rell,89,526,2.78,2.19,0.5832,0.4168,0.44,0.41,0.542,0.458,0.5252,0.4836,0.1396,0.0364,0.3998,0.0666
Janna,Alistar,40,12,3.0,2.37,0.483,0.517,0.427,0.376,0.5214,0.4786,0.5141,0.5015,0.0272,0.1226,0.0017,0.0699
Seraphine,Senna,147,235,2.61,2.87,0.5298,0.4702,0.431,0.497,0.4645,0.5355,0.4769,0.5275,0.0209,0.1282,0.0064,0.2869
Seraphine,Anivia,147,34,2.56,2.19,0.4106,0.5894,0.437,0.414,0.5172,0.4828,0.4769,0.5007,0.0209,0.0066,0.0064,0.0462
Sett,Vel'Koz,875,161,1.8,2.55,0.4544,0.5456,0.393,0.464,0.4576,0.5424,0.4539,0.4896,0.0402,0.0151,0.104,0.0012
